"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 08:23:06 GMT 2024","Mon May 27 08:23:15 GMT 2024","9131","chromium","test1.spec.js","","","","Clinet page e2e testing",""
"passed","Mon May 27 08:23:06 GMT 2024","Mon May 27 08:23:12 GMT 2024","6804","chromium","test2.spec.js","","","","Login Functionality",""
