"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 11:20:41 GMT 2024","Thu Jun 20 11:20:45 GMT 2024","4331","chromium","test2.spec.js","","","","Login Functionality",""
"passed","Thu Jun 20 11:20:33 GMT 2024","Thu Jun 20 11:20:41 GMT 2024","7705","chromium","test1.spec.js","","","","Clinet page e2e testing",""
"passed","Thu Jun 20 11:20:45 GMT 2024","Thu Jun 20 11:20:49 GMT 2024","4003","chromium","test3.spec.js","","","","Practise Test",""
"passed","Thu Jun 20 11:20:49 GMT 2024","Thu Jun 20 11:20:49 GMT 2024","186","chromium","test3.spec.js","","","","Example test",""
